Year Standing,Course ID,Course Title,Credit,Credit type,Day/Period,semester,period1,period2,is_conflict
2,4102160,object-orientedprogramming,3,Required,Tue.E Thur.E,2,Tue/7.5,Thur/7.5,1.0
2,4102160,object-orientedprogramming,3,Required,Tue.E Thur.E,2,Tue/7.5,Thur/7.5,1.0
3,4103001,introductiontooperatingsystem,3,Required,Tue.G Thur.G,1,Tue/10.5,Thur/10.5,1.0
3,4103001,introductiontooperatingsystem,3,Required,Tue.F Thur.F,1,Tue/8.5,Thur/8.5,1.0
3,4103055,computerorganization,3,Required,Mon.C Wed.C,1,Mon/4.5,Wed/4.5,1.0
3,4103055,computerorganization,3,Required,Tue.B Thur.B,1,Tue/2.5,Thur/2.5,0.0
3,4103800,computerscienceseminars,1,Required,"Mon.8,9",1,"Mon/8,9",,0.0
3,4104005,compilerdesign,3,Required,Mon.C Wed.C,2,Mon/4.5,Wed/4.5,1.0
3,4104005,compilerdesign,3,Required,Mon.C Wed.C,2,Mon/4.5,Wed/4.5,1.0
3,4104800,computerproject(i),2,Required,"Fri.12,13,14,15",2,"Fri/12,13,14,15",,0.0
3,4104800,computerproject(i),2,Required,"Fri.12,13,14,15",2,"Fri/12,13,14,15",,0.0
3,4104800,computerproject(i),2,Required,"Fri.12,13,14,15",2,"Fri/12,13,14,15",,0.0
3,4104800,computerproject(i),2,Required,"Fri.12,13,14,15",2,"Fri/12,13,14,15",,0.0
3,4104800,computerproject(i),2,Required,"Fri.12,13,14,15",2,"Fri/12,13,14,15",,0.0
4,4104801,computerproject(ii),2,Required,"Fri.12,13,14,15",1,"Fri/12,13,14,15",,0.0
4,4104801,computerproject(ii),2,Required,"Fri.12,13,14,15",1,"Fri/12,13,14,15",,0.0
4,4104801,computerproject(ii),2,Required,"Fri.12,13,14,15",1,"Fri/12,13,14,15",,0.0
4,4104801,computerproject(ii),2,Required,"Fri.12,13,14,15",1,"Fri/12,13,14,15",,0.0
4,4104801,computerproject(ii),2,Required,"Fri.12,13,14,15",1,"Fri/12,13,14,15",,0.0
